"event.id","NClicks","NWhistle","NCep","TS"
"2001154",38,0,2,40
"2001152",6,0,4,10
"2001151",1,0,1,2
"2001149",0,0,1,1
"2001148",370,0,4,374
"2001147",3,0,4,7
"2001146",282,0,1,283
"2001145",19,0,4,23
"2001144",40,0,2,42
"2001143",71,1,11,83
"2001142",2,0,1,3
"2001136",0,0,2,2
"2001135",1,0,0,1
"2001131",3,0,1,4
"2001129",1,0,0,1
"2001128",1,0,2,3
"2001126",4,0,1,5
"2001125",1999,9,9,2017
"2001122",9,0,1,10
"2001121",4225,0,60,4285
"2001119",3,0,2,5
"2001118",1,0,5,6
"2001117",3,0,8,11
"2001116",39,0,4,43
"2001115",17,0,2,19
"2001114",1,0,0,1
"2001111",50,0,5,55
"2001109",4,0,1,5
"2001108",5,0,0,5
"2001106",75,108,1,184
"2001105",26,80,16,122
"2001100",33760,0,47,33807
"2001097",54,0,2,56
"2001096",103,0,7,110
"2001095",3424,919,18,4361
"2001094",1255,247,16,1518
"2001093",2653,5,99,2757
"2001092",7,1,0,8
"2001091",5,0,2,7
"2001090",14241,255,414,14910
"2001088",243,0,5,248
"2001084",0,0,0,0
"2001083",2,0,8,10
"2001082",24,0,4,28
"2001080",8,0,5,13
"2001079",38,0,3,41
"2001078",10476,0,7,10483
"2001077",14,0,2,16
"2001076",8,24,0,32
"2001074",96,3,3,102
"2001073",30,2,3,35
"2001071",2415,0,8,2423
"2001069",5,0,6,11
"2001067",0,0,0,0
"2001062",1893,0,19,1912
"2001057",15039,74,64,15177
"2001054",117,245,72,434
"2001052",13,0,4,17
"2001049",0,1,1,2
"2001046",3674,6,2,3682
"2001044",4,6,3,13
"2001029",2093,140,6,2239
"2001028",488,6,0,494
"2001026",144,8,0,152
"2001023",111,47,2,160
"2001021",3,15,1,19
"1901051",0,0,0,0
"1901047",15,0,0,15
"1901033",2649,1,1,2651
"1901032",263,0,1,264
"1901029",119,0,0,119
"1901027",184,0,8,192
"1901012",16822,1,18,16841
"1901007",483,0,4,487
"1901006",623,132,1,756
"1901005",3159,322,53,3534
"1901003",0,0,2,2
"1803093",80592,98,229,80919
"1803085",9,0,0,9
"1803084",6129,192,133,6454
"1803083",5501,68,20,5589
"1803082",2581,41,13,2635
"1803076",496,54,2,552
"1803060",24261,33,12,24306
"1803059",6824,5,12,6841
"1803057",932,35,4,971
"1803054",91,0,1,92
"1803053",1942,41,24,2007
"1803046",63,1,1,65
"1803045",11469,2,93,11564
"1803042",29,0,6,35
"1803041",0,0,0,0
"1803038",107,12,1,120
"1803037",174,0,3,177
"1803036",681,0,3,684
"1803030",8,2,2,12
"1803029",578,116,2,696
"1803027",2,0,0,2
"1803025",5,0,0,5
"1803022",68,0,2,70
"1803016",8,0,8,16
"1803015",11320,20,118,11458
"1803014",4,0,0,4
"1803005",83,0,7,90
"1803003",5843,1,7,5851
"1642033",2719,910,643,4272
"1641325",5011,270,107,5388
"1641299",5406,577,586,6569
"1641291",1402,336,1008,2746
